"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2013","364.80","362.50","378.50","355.00","4.70K","0.91%"
"10/01/2013","361.50","344.50","368.50","328.50","9.49K","5.06%"
"09/01/2013","344.10","320.30","363.40","320.30","9.54K","7.40%"
"08/01/2013","320.40","311.50","328.00","297.00","10.23K","3.19%"
"07/01/2013","310.50","295.30","339.00","288.30","9.49K","4.33%"
"06/01/2013","297.60","305.30","313.10","278.50","10.18K","-2.84%"
"05/01/2013","306.30","345.70","346.70","276.20","11.18K","-11.35%"
"04/01/2013","345.50","392.30","394.90","343.50","14.75K","-11.68%"
"03/01/2013","391.20","385.80","400.00","379.20","7.21K","2.87%"
"02/01/2013","380.30","358.00","400.80","358.00","14.25K","7.83%"
"01/01/2013","352.70","372.60","381.70","342.30","13.32K","-5.67%"
"12/01/2012","373.90","342.50","392.80","332.60","15.06K","9.94%"
"11/01/2012","340.10","322.80","345.80","314.00","9.92K","6.68%"
"10/01/2012","318.80","281.10","318.80","272.30","13.13K","14.27%"
"09/01/2012","279.00","288.70","290.70","267.40","8.43K","-3.16%"
"08/01/2012","288.10","281.10","317.00","279.90","14.68K","2.53%"
"07/01/2012","281.00","272.50","297.20","272.00","11.57K","2.78%"
"06/01/2012","273.40","284.70","289.50","265.50","12.87K","-2.70%"
"05/01/2012","281.00","286.00","307.00","278.00","11.37K","-1.37%"
"04/01/2012","284.90","258.20","287.20","255.70","12.59K","9.20%"
"03/01/2012","260.90","267.20","279.00","254.00","10.38K","-1.84%"
"02/01/2012","265.80","251.00","276.30","249.00","15.30K","7.09%"
"01/01/2012","248.20","249.80","254.70","234.60","7.83K","0.45%"
"12/01/2011","247.10","221.30","259.60","218.70","15.88K","13.24%"
"11/01/2011","218.20","222.90","254.00","212.10","10.91K","-2.68%"
"10/01/2011","224.20","212.20","232.40","211.20","13.08K","6.21%"
"09/01/2011","211.10","243.00","264.60","211.10","11.98K","-12.62%"
"08/01/2011","241.60","250.40","251.50","213.90","14.95K","-2.78%"
"07/01/2011","248.50","245.60","270.20","234.80","6.36K","1.47%"
"06/01/2011","244.90","246.90","252.00","213.60","13.96K","0.57%"
"05/01/2011","243.50","237.50","248.70","208.10","9.06K","2.74%"
"04/01/2011","237.00","304.60","305.70","221.10","13.64K","-21.89%"
"03/01/2011","303.40","291.10","324.90","275.00","11.38K","5.02%"
"02/01/2011","288.90","313.40","325.00","283.30","11.92K","-6.81%"
"01/01/2011","310.00","303.60","326.90","284.50","8.75K","2.65%"
"12/01/2010","302.00","251.00","316.40","246.50","10.42K","22.27%"
"11/01/2010","247.00","259.20","285.00","245.50","10.25K","-3.89%"
"10/01/2010","257.00","229.00","257.00","211.30","15.57K","13.22%"
"09/01/2010","227.00","203.10","243.50","202.70","11.12K","11.00%"
"08/01/2010","204.50","211.00","220.50","195.50","11.28K","-2.15%"
"07/01/2010","209.00","201.10","215.30","195.00","8.36K","7.18%"
"06/01/2010","195.00","232.00","235.30","175.20","11.29K","-13.53%"
"05/01/2010","225.50","292.10","292.60","221.20","9.21K","-22.64%"
"04/01/2010","291.50","287.30","327.50","285.10","15.74K","1.50%"
"03/01/2010","287.20","256.00","291.70","246.90","9.57K","11.75%"
"02/01/2010","257.00","253.00","281.90","252.10","12.41K","3.42%"
"01/01/2010","248.50","202.80","257.50","200.40","9.86K","21.22%"
"12/01/2009","205.00","250.00","255.20","202.20","16.45K","-16.73%"
"11/01/2009","246.20","187.00","246.20","182.60","9.08K","31.73%"
"10/01/2009","186.90","170.30","189.90","163.00","15.57K","10.79%"
"09/01/2009","168.70","176.00","187.00","167.00","10.83K","-4.58%"
"08/01/2009","176.80","198.50","214.00","170.30","12.92K","-9.84%"
"07/01/2009","196.10","188.50","208.40","165.30","11.70K","2.67%"
"06/01/2009","191.00","193.80","216.30","189.60","14.46K","-0.37%"
"05/01/2009","191.70","160.00","201.20","150.70","9.86K","19.07%"
"04/01/2009","161.00","172.40","189.10","159.30","12.08K","-6.01%"
"03/01/2009","171.30","144.60","179.80","138.00","10.29K","16.53%"
"02/01/2009","147.00","158.10","175.90","138.00","13.82K","-0.74%"
"01/01/2009","148.10","168.70","171.80","137.90","7.57K","-12.57%"
"12/01/2008","169.40","194.00","194.10","163.70","11.30K","-12.45%"
"11/01/2008","193.50","189.20","207.40","182.80","8.68K","2.60%"
"10/01/2008","188.60","202.00","203.50","176.20","15.34K","-7.32%"
"09/01/2008","203.50","254.50","256.70","201.50","13.18K","-19.25%"
"08/01/2008","252.00","258.00","270.30","250.20","18.58K","-0.40%"
"07/01/2008","253.00","241.90","259.80","238.00","17.32K","4.55%"
"06/01/2008","242.00","246.30","253.00","238.60","18.26K","-1.75%"
"05/01/2008","246.30","210.50","257.50","209.10","16.14K","17.12%"
"04/01/2008","210.30","221.00","246.50","208.30","20.72K","-5.31%"
"03/01/2008","222.10","217.80","232.20","185.70","16.13K","1.32%"
"02/01/2008","219.20","216.00","237.30","211.80","19.02K","1.29%"
"01/01/2008","216.40","233.90","235.20","195.00","14.50K","-7.72%"
"12/01/2007","234.50","255.80","255.80","233.50","14.36K","-7.82%"
"11/01/2007","254.40","231.00","269.10","224.00","12.20K","11.33%"
"10/01/2007","228.50","253.00","253.00","223.50","14.41K","-8.12%"
"09/01/2007","248.70","255.30","257.00","231.50","11.79K","-4.71%"
"08/01/2007","261.00","279.60","286.50","255.00","14.95K","-6.62%"
"07/01/2007","279.50","280.00","312.30","272.70","12.16K","-0.11%"
"06/01/2007","279.80","283.00","302.30","271.20","13.95K","0.72%"
"05/01/2007","277.80","231.70","293.00","227.00","15.85K","19.64%"
"04/01/2007","232.20","242.00","259.30","231.80","13.19K","-3.45%"
"03/01/2007","240.50","258.20","262.00","240.10","15.06K","-8.00%"
"02/01/2007","261.40","270.00","282.90","257.60","11.78K","-3.61%"
"01/01/2007","271.20","269.50","296.60","255.60","6.49K","1.19%"
"12/01/2006","268.00","265.90","272.10","251.50","12.15K","0.53%"
"11/01/2006","266.60","243.00","279.00","231.30","10.22K","9.31%"
"10/01/2006","243.90","242.20","264.00","232.20","13.33K","1.37%"
"09/01/2006","240.60","288.50","288.50","240.10","10.56K","-16.60%"
"08/01/2006","288.50","273.00","293.50","261.60","10.79K","5.68%"
"07/01/2006","273.00","295.00","304.80","268.50","9.38K","-7.30%"
"06/01/2006","294.50","301.60","309.80","286.10","11.98K","-2.26%"
"05/01/2006","301.30","344.20","347.60","299.40","9.58K","-12.59%"
"04/01/2006","344.70","333.00","348.40","316.50","10.74K","6.09%"
"03/01/2006","324.90","333.50","344.60","320.90","9.13K","-1.69%"
"02/01/2006","330.50","356.60","371.30","329.50","11.61K","-7.11%"
"01/01/2006","355.80","363.90","376.40","353.20","12.27K","-0.89%"
"12/01/2005","359.00","336.50","366.50","318.80","9.18K","9.95%"
"11/01/2005","326.50","306.00","355.30","297.20","9.95K","5.15%"
"10/01/2005","310.50","305.90","311.00","278.70","10.44K","1.84%"
"09/01/2005","304.90","309.00","342.00","283.10","10.73K","2.66%"
"08/01/2005","297.00","301.00","305.00","267.00","10.61K","-1.95%"
"07/01/2005","302.90","325.30","355.80","302.90","8.57K","-6.89%"
"06/01/2005","325.30","373.00","373.60","318.50","10.92K","-11.96%"
"05/01/2005","369.50","355.80","373.10","331.20","8.68K","3.68%"
"04/01/2005","356.40","402.80","402.90","341.00","13.46K","-11.06%"
"03/01/2005","400.70","418.50","418.50","388.60","11.39K","-4.25%"
"02/01/2005","418.50","386.00","418.50","381.00","12.21K","8.90%"
"01/01/2005","384.30","362.00","388.30","344.00","10.84K","7.83%"
"12/01/2004","356.40","340.00","363.30","319.00","12.65K","5.10%"
"11/01/2004","339.10","316.50","343.50","290.10","8.66K","6.13%"
"10/01/2004","319.50","340.00","342.40","286.70","10.72K","-4.97%"
"09/01/2004","336.20","439.00","461.00","328.40","12.72K","-23.68%"
"08/01/2004","440.50","423.00","458.70","401.50","12.58K","4.31%"
"07/01/2004","422.30","380.00","450.00","375.30","10.76K","12.16%"
"06/01/2004","376.50","406.00","410.00","373.50","10.73K","-7.15%"
"05/01/2004","405.50","436.00","464.00","387.10","10.06K","-6.61%"
"04/01/2004","434.20","383.50","435.10","383.50","14.18K","13.93%"
"03/01/2004","381.10","389.00","394.00","348.50","11.04K","-1.01%"
"02/01/2004","385.00","332.00","400.00","328.60","10.23K","15.62%"
"01/01/2004","333.00","316.20","365.00","314.00","7.33K","6.53%"
"12/01/2003","312.60","315.00","316.30","277.00","6.73K","-0.57%"
"11/01/2003","314.40","281.70","321.00","265.30","5.78K","12.37%"
"10/01/2003","279.80","308.00","314.30","264.10","12.25K","-9.60%"
"09/01/2003","309.50","351.00","370.40","289.50","10.35K","-11.44%"
"08/01/2003","349.50","282.00","352.80","281.00","13.87K","25.04%"
"07/01/2003","279.50","285.00","294.00","255.50","11.60K","-2.10%"
"06/01/2003","285.50","260.00","313.50","254.70","14.48K","12.62%"
"05/01/2003","253.50","234.80","256.80","213.50","11.35K","8.57%"
"04/01/2003","233.50","232.90","252.40","231.50","8.05K","1.26%"
"03/01/2003","230.60","231.00","253.00","222.30","8.47K","-0.86%"
"02/01/2003","232.60","272.00","287.60","228.30","11.56K","-14.99%"
"01/01/2003","273.60","219.00","276.00","215.60","11.80K","25.68%"
"12/01/2002","217.70","241.00","247.00","212.00","9.32K","-7.95%"
"11/01/2002","236.50","219.90","239.30","200.50","7.32K","6.15%"
"10/01/2002","222.80","217.50","238.80","215.60","8.50K","1.92%"
"09/01/2002","218.60","226.50","234.30","213.70","7.48K","-4.25%"
"08/01/2002","228.30","268.10","268.10","227.90","6.45K","-11.55%"
"07/01/2002","258.10","288.40","288.50","245.70","7.04K","-10.23%"
"06/01/2002","287.50","282.00","288.50","256.30","8.10K","2.31%"
"05/01/2002","281.00","285.50","309.30","268.50","5.84K","-1.85%"
"04/01/2002","286.30","294.00","307.50","267.10","7.97K","-3.01%"
"03/01/2002","295.20","310.00","329.80","289.90","7.82K","-5.08%"
"02/01/2002","311.00","268.00","311.50","260.50","7.59K","15.74%"
"01/01/2002","268.70","246.00","298.00","232.50","8.16K","9.63%"
"12/01/2001","245.10","221.00","272.00","215.90","7.74K","9.96%"
"11/01/2001","222.90","229.80","240.50","217.60","5.87K","-0.93%"
"10/01/2001","225.00","241.30","252.00","213.80","6.85K","-7.22%"
"09/01/2001","242.50","316.00","327.00","238.70","6.91K","-23.84%"
"08/01/2001","318.40","319.00","341.50","299.10","9.85K","1.37%"
"07/01/2001","314.10","289.00","316.00","266.00","7.08K","7.09%"
"06/01/2001","293.30","326.00","345.00","286.00","10.85K","-8.26%"
"05/01/2001","319.70","289.50","376.00","286.00","10.73K","10.85%"
"04/01/2001","288.40","233.00","292.80","226.50","13.43K","25.12%"
"03/01/2001","230.50","200.00","250.10","198.00","12.28K","14.00%"
"02/01/2001","202.20","226.00","229.20","191.30","9.00K","-9.89%"
"01/01/2001","224.40","208.00","227.90","180.40","10.75K","9.20%"
"12/01/2000","205.50","233.30","237.90","202.10","8.61K","-12.48%"
"11/01/2000","234.80","207.90","249.70","204.30","8.67K","13.32%"
